Origin_Airport_Code,Destination_Airport_Code,Estimated_Duration_Hours,Estimated_Duration_Minutes
MXP,PMI,1,23
LIS,MAN,4,28
AMS,VIE,2,37
IST,HEL,2,46
ALC,LGW,2,56
MAD,IST,2,47
MUC,DUB,2,6
MXP,ATH,4,23
DUB,WAW,3,27
LIS,MUC,1,32
WAW,CDG,3,36
ZRH,MAN,2,22
BCN,MAN,1,0
BUD,MAN,1,27
BCN,PMI,3,20
DUS,ALC,2,12
BRU,DUB,1,2
BUD,PRG,4,4
LHR,PRG,1,13
CPH,HEL,1,36
LIS,DUB,4,46
ALC,DUB,1,36
BUD,ZRH,3,25
DUS,ATH,4,21
BRU,ZRH,3,20
FCO,OSL,4,36
PMI,ATH,1,11
HEL,AGP,2,15
AMS,MXP,2,55
LGW,ARN,3,59
FCO,LHR,1,45
MAN,CDG,3,31
OSL,BCN,1,49
ATH,LIS,1,57
CPH,MAD,2,54
LHR,MUC,4,17
ALC,ATH,2,12
FRA,LIS,1,36
LHR,DUB,4,54
MAD,BUD,3,0
CPH,MUC,1,32
PRG,ZRH,2,30
BCN,VIE,3,19
DUB,HEL,2,39
BUD,MXP,4,23
BUD,DUS,2,9
DUS,AGP,2,57
PMI,BUD,5,3
GVA,ARN,1,0
DUB,ATH,4,20
ZRH,FRA,3,34
BCN,MAN,2,57
AGP,BUD,1,36
DUS,HEL,4,6
AGP,FRA,2,14
OSL,ARN,2,25
MAD,LHR,4,25
GVA,ZRH,1,0
CDG,ATH,3,24
AGP,WAW,1,28
CDG,ZRH,3,25
OSL,IST,1,0
MUC,PMI,1,5
CDG,BRU,3,36
BRU,ARN,3,34
MUC,PRG,2,0
BRU,CPH,3,34
IST,VIE,1,56
OSL,WAW,4,5
ZRH,GVA,3,19
DUB,AMS,4,8
FCO,ZRH,2,5
PMI,MXP,3,11
DUS,LGW,1,35
ATH,DUS,2,48
CDG,MAD,2,44
BUD,CPH,1,30
ATH,BCN,5,4
MAN,WAW,4,43
CPH,AMS,4,13
MAN,AGP,2,37
AMS,AGP,3,44
CPH,OSL,4,52
IST,WAW,3,25
DUS,LHR,2,59
FRA,BCN,2,17
BRU,LHR,1,15
MAD,BUD,2,23
ARN,MAN,2,7
ARN,IST,2,54
CPH,MAD,2,19
LIS,LHR,1,25
PRG,MAD,3,36
GVA,DUS,3,27
LGW,BUD,4,45
WAW,AGP,2,28
BUD,MXP,1,12
MAN,IST,2,19
CPH,MAD,2,59
AMS,LGW,5,9
PRG,VIE,2,27
IST,OSL,4,10
LHR,MAD,1,31
FCO,FRA,1,41
MUC,WAW,3,14
ATH,ARN,1,23
WAW,PMI,3,31
DUS,LGW,1,0
PMI,WAW,2,17
BUD,WAW,4,16
ALC,DUB,3,51
ALC,LIS,1,47
PRG,OSL,4,5
IST,MXP,3,24
FRA,LHR,2,28
MXP,VIE,4,28
LHR,ARN,1,51
MXP,BCN,1,48
MAD,GVA,1,28
PMI,IST,4,35
DUS,ARN,3,53
ARN,HEL,2,2
LHR,MAN,1,20
BUD,BCN,2,55
LHR,BRU,1,10
CPH,DUS,3,4
PMI,ARN,1,26
ARN,OSL,1,20
FRA,BUD,4,37
MUC,PRG,2,28
PMI,BRU,4,44
DUS,LGW,1,17
MUC,CPH,2,21
AGP,MXP,1,23
AGP,LIS,3,49
WAW,FRA,2,5
BCN,VIE,4,31
AMS,FCO,2,44
DUS,CDG,3,40
WAW,ARN,2,10
LGW,CDG,2,25
ALC,MUC,1,55
LGW,MXP,2,18
AGP,MAN,1,35
HEL,CDG,2,8
DUS,MAD,3,0
MUC,LIS,4,2
FRA,ARN,3,13
FCO,BCN,2,24
LGW,BRU,1,33
ZRH,MAD,1,24
BRU,MAN,1,59
BCN,DUS,3,42
AMS,ZRH,2,28
AGP,MAD,1,49
CDG,BRU,4,23
MAN,PRG,2,45
BRU,CDG,1,21
PRG,LHR,1,31
MAN,PMI,2,6
FCO,CDG,2,40
AGP,DUB,4,28
AMS,ATH,5,9
ARN,BCN,3,42
BUD,AMS,4,40
BUD,CDG,3,42
HEL,GVA,4,40
IST,AMS,2,21
FRA,OSL,2,26
LIS,HEL,4,28
HEL,GVA,3,42
FRA,GVA,2,15
ATH,AMS,3,44
CPH,MAD,1,52
LIS,CDG,3,32
OSL,CPH,4,12
LGW,OSL,2,24
MAD,AMS,4,26
FRA,DUB,3,1
GVA,VIE,1,41
LHR,BCN,1,45
MAN,WAW,3,8
PRG,CDG,3,3
OSL,VIE,2,33
OSL,PMI,5,5
AMS,DUB,5,5
