Country ,City,IATA Code,Pax number ,,Adventure,Nature,Shopping,Party,Learn,Finshed,Uploaded
,,,,,,,,,,,
,,,,,,,,,,,
Afghanistan,Kabul,KBL,,,x,x,,,x,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Albania,Tirana,TIA,"2,195,100",,x,x,,x,x,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Algeria,Algiers,ALG,"7,500,000",,,,,,,FALSE,FALSE
,Oran,"ORN, ORA","1,085,753",,,,,,,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Angola,Luanda,LAD,"2,430,794",,,,,,x,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Antigua And Barbuda,Saint John’s,ANU,"40,000",,,,,,x,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Argentina,Buenos Aires,"EZE , AEP","21,700,000",,,x,x,x,x,FALSE,FALSE
,Córdoba,COR,"2,200,000",,,x,,,x,FALSE,FALSE
,Mendoza,MDZ,"1,300,000",,x,,,,x,FALSE,FALSE
,Salta,SLA,"972,000",,,x,,,x,FALSE,FALSE
,Rosario,ROS,"510,000",,,,,,x,FALSE,FALSE
,Rio Gallegos,RGL,"237,000",,,x,,,x,FALSE,FALSE
,Ushuaia,USH,,,,x,,,x,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Armenia,Yerevan,EVN,"2,100,000",,,x,,,x,TRUE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Aruba,Oranjestad,AUA,,,,,,,x,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Australia,Sydney,SYD,"39,021,357 Pax",,,x,x,,x,FALSE,FALSE
,Melbourne,"MEL, AVV, MEB","31,935,600",,,x,,,x,FALSE,FALSE
,Brisbane,BNE,"21,918,357",,,x,,,x,FALSE,FALSE
,Perth,PER,"12,723,035",,,x,,,x,FALSE,FALSE
,Adelaide,ADL,"7,670,201",,,x,,,x,FALSE,FALSE
,Gold Coast,OOL,"5,867,294",,,,,,,FALSE,FALSE
,Cairns,CNS,"4,391,014",,,,,,,FALSE,FALSE
,Canberra,CBR,"2,803,989",,,,,,,FALSE,FALSE
,Hobart,HBA,"2,186,358",,,x,,,x,FALSE,FALSE
,Darwin,DRW,"2,057,307",,,,,,,FALSE,FALSE
,Townsville,TSV,"1,497,946",,,,,,,FALSE,FALSE
,Hamilton Island,HTI,"493,860",,,,,,,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Austria,Vienna,VIE,"21,999,820",,,x,,,x,FALSE,FALSE
,Salzburg,SZG,"1,662,834",,,x,,,x,FALSE,FALSE
,Innsbruck,INN,"981,118",,,x,,,x,FALSE,FALSE
,Graz,GRZ,"881,565",,,x,,,x,FALSE,FALSE
,Linz,LNZ,"561,295",,,x,,,x,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Azerbaijan,Baku,GYD,"3,000,000",,,x,,,x,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
Bahamas,Nassau,NAS,"3,250,000",,,x,,,x,FALSE,FALSE
,,,,,,,,,,,
,,,,,,,,,,,
